"sku","name","category","description","price","cost","stock","margin_pct","ai_priority","image_url","is_active"
"TPL-ROP-0026","New Balance Legging Performance Azul 44","Ropa","Compresion media para gym y running. Color Azul. Talla 44. Plantilla demo 26.","39","23.4","49","40","7","","true"
"TPL-ROP-0027","Asics Chaqueta Rompeviento Rojo XS","Ropa","Proteccion ligera para clima cambiante. Color Rojo. Talla XS. Plantilla demo 27.","33","20.79","53","37","8","","true"
"TPL-ACC-0028","Mizuno Botella Termica Gris S","Accesorios","Mantiene la bebida fria por horas. Color Gris. Talla S. Plantilla demo 28.","30","13.5","57","55","9","","true"
"TPL-ACC-0029","Wilson Mochila Training Verde M","Accesorios","Compartimentos para gym y laptop. Color Verde. Talla M. Plantilla demo 29.","51","24.48","61","52","10","","true"
"TPL-ACC-0030","Head Medias Tecnicas Blanco L","Accesorios","Tejido antihumedad y ajuste anatomico. Color Blanco. Talla L. Plantilla demo 30.","8","4.08","5","49","5","","true"
"TPL-ACC-0031","Spalding Gorra Sport Naranja XL","Accesorios","Proteccion solar y ajuste comodo. Color Naranja. Talla XL. Plantilla demo 31.","22","11.88","9","46","6","","true"
"TPL-ACC-0032","Molten Cangurera Runner Morado Unica","Accesorios","Ideal para llaves celular y geles. Color Morado. Talla Unica. Plantilla demo 32.","16","9.12","13","43","7","","true"
"TPL-FIT-0033","Yonex Mancuerna Ajustable Negro 38","Fitness","Entrenamiento funcional en casa. Color Negro. Talla 38. Plantilla demo 33.","74","44.4","17","40","8","","true"
"TPL-FIT-0034","Everlast Banda de Resistencia Azul 39","Fitness","Ideal para movilidad y fuerza. Color Azul. Talla 39. Plantilla demo 34.","7","4.41","21","37","9","","true"
"TPL-FIT-0035","Speedo Mat de Yoga Rojo 40","Fitness","Superficie antideslizante y acolchada. Color Rojo. Talla 40. Plantilla demo 35.","23","10.35","25","55","10","","true"
"TPL-FIT-0036","Arena Cuerda de Saltar Gris 41","Fitness","Rodamientos suaves para cardio. Color Gris. Talla 41. Plantilla demo 36.","20","9.6","29","52","5","","true"
"TPL-CIC-0037","CamelBak Casco Urbano Verde 42","Ciclismo","Ventilacion y ajuste seguro. Color Verde. Talla 42. Plantilla demo 37.","77","39.27","33","49","6","","true"
"TPL-CIC-0038","HydroPeak Guantes Ciclismo Blanco 43","Ciclismo","Acolchado para recorridos largos. Color Blanco. Talla 43. Plantilla demo 38.","26","14.04","37","46","7","","true"
"TPL-NAT-0039","ThermoSport Gafas Natacion Naranja 44","Natacion","Vision clara y antiempanante. Color Naranja. Talla 44. Plantilla demo 39.","14","7.98","41","43","8","","true"
"TPL-OUT-0040","FitCore Bolso Hidratacion Morado XS","Outdoor","Capacidad extra para rutas largas. Color Morado. Talla XS. Plantilla demo 40.","51","30.6","45","40","9","","true"
"TPL-CAL-0041","Nike Tenis Running Negro S","Calzado","Amortiguacion reactiva para entreno y uso diario. Color Negro. Talla S. Plantilla demo 41.","141","88.83","49","37","10","","true"
"TPL-CAL-0042","Adidas Tenis Trail Azul M","Calzado","Suela con agarre para senderos y exteriores. Color Azul. Talla M. Plantilla demo 42.","138","62.1","53","55","5","","true"
"TPL-CAL-0043","Puma Taquetes Futbol Rojo L","Calzado","Estabilidad y traccion para cancha. Color Rojo. Talla L. Plantilla demo 43.","79","37.92","57","52","6","","true"
"TPL-ROP-0044","Under Armour Camiseta Dry Fit Gris XL","Ropa","Tela transpirable para entrenamientos intensos. Color Gris. Talla XL. Plantilla demo 44.","34","17.34","61","49","7","","true"
"TPL-ROP-0045","Reebok Short Deportivo Verde Unica","Ropa","Ligero comodo y de secado rapido. Color Verde. Talla Unica. Plantilla demo 45.","17","9.18","5","46","8","","true"
"TPL-ROP-0046","New Balance Legging Performance Blanco 38","Ropa","Compresion media para gym y running. Color Blanco. Talla 38. Plantilla demo 46.","47","26.79","9","43","9","","true"
"TPL-ROP-0047","Asics Chaqueta Rompeviento Naranja 39","Ropa","Proteccion ligera para clima cambiante. Color Naranja. Talla 39. Plantilla demo 47.","35","21","13","40","10","","true"
"TPL-ACC-0048","Mizuno Botella Termica Morado 40","Accesorios","Mantiene la bebida fria por horas. Color Morado. Talla 40. Plantilla demo 48.","16","10.08","17","37","5","","true"
"TPL-ACC-0049","Wilson Mochila Training Negro 41","Accesorios","Compartimentos para gym y laptop. Color Negro. Talla 41. Plantilla demo 49.","59","26.55","21","55","6","","true"
"TPL-ACC-0050","Head Medias Tecnicas Azul 42","Accesorios","Tejido antihumedad y ajuste anatomico. Color Azul. Talla 42. Plantilla demo 50.","8","3.84","25","52","7","","true"
"TPL-ACC-0051","Spalding Gorra Sport Rojo 43","Accesorios","Proteccion solar y ajuste comodo. Color Rojo. Talla 43. Plantilla demo 51.","9","4.59","29","49","8","","true"
"TPL-ACC-0052","Molten Cangurera Runner Gris 44","Accesorios","Ideal para llaves celular y geles. Color Gris. Talla 44. Plantilla demo 52.","24","12.96","33","46","9","","true"
"TPL-FIT-0053","Yonex Mancuerna Ajustable Verde XS","Fitness","Entrenamiento funcional en casa. Color Verde. Talla XS. Plantilla demo 53.","88","50.16","37","43","10","","true"
"TPL-FIT-0054","Everlast Banda de Resistencia Blanco S","Fitness","Ideal para movilidad y fuerza. Color Blanco. Talla S. Plantilla demo 54.","7","4.2","41","40","5","","true"
"TPL-FIT-0055","Speedo Mat de Yoga Naranja M","Fitness","Superficie antideslizante y acolchada. Color Naranja. Talla M. Plantilla demo 55.","43","27.09","45","37","6","","true"
"TPL-FIT-0056","Arena Cuerda de Saltar Morado L","Fitness","Rodamientos suaves para cardio. Color Morado. Talla L. Plantilla demo 56.","16","7.2","49","55","7","","true"
"TPL-CIC-0057","CamelBak Casco Urbano Negro XL","Ciclismo","Ventilacion y ajuste seguro. Color Negro. Talla XL. Plantilla demo 57.","61","29.28","53","52","8","","true"
"TPL-CIC-0058","HydroPeak Guantes Ciclismo Azul Unica","Ciclismo","Acolchado para recorridos largos. Color Azul. Talla Unica. Plantilla demo 58.","22","11.22","57","49","9","","true"
"TPL-NAT-0059","ThermoSport Gafas Natacion Rojo 38","Natacion","Vision clara y antiempanante. Color Rojo. Talla 38. Plantilla demo 59.","28","15.12","61","46","10","","true"
"TPL-OUT-0060","FitCore Bolso Hidratacion Gris 39","Outdoor","Capacidad extra para rutas largas. Color Gris. Talla 39. Plantilla demo 60.","62","35.34","5","43","5","","true"
"TPL-CAL-0061","Nike Tenis Running Verde 40","Calzado","Amortiguacion reactiva para entreno y uso diario. Color Verde. Talla 40. Plantilla demo 61.","87","52.2","9","40","6","","true"
"TPL-CAL-0062","Adidas Tenis Trail Blanco 41","Calzado","Suela con agarre para senderos y exteriores. Color Blanco. Talla 41. Plantilla demo 62.","64","40.32","13","37","7","","true"
"TPL-CAL-0063","Puma Taquetes Futbol Naranja 42","Calzado","Estabilidad y traccion para cancha. Color Naranja. Talla 42. Plantilla demo 63.","43","19.35","17","55","8","","true"
"TPL-ROP-0064","Under Armour Camiseta Dry Fit Morado 43","Ropa","Tela transpirable para entrenamientos intensos. Color Morado. Talla 43. Plantilla demo 64.","29","13.92","21","52","9","","true"
"TPL-ROP-0065","Reebok Short Deportivo Negro 44","Ropa","Ligero comodo y de secado rapido. Color Negro. Talla 44. Plantilla demo 65.","37","18.87","25","49","10","","true"
"TPL-ROP-0066","New Balance Legging Performance Azul XS","Ropa","Compresion media para gym y running. Color Azul. Talla XS. Plantilla demo 66.","22","11.88","29","46","5","","true"
"TPL-ROP-0067","Asics Chaqueta Rompeviento Rojo S","Ropa","Proteccion ligera para clima cambiante. Color Rojo. Talla S. Plantilla demo 67.","37","21.09","33","43","6","","true"
"TPL-ACC-0068","Mizuno Botella Termica Gris M","Accesorios","Mantiene la bebida fria por horas. Color Gris. Talla M. Plantilla demo 68.","24","14.4","37","40","7","","true"
"TPL-ACC-0069","Wilson Mochila Training Verde L","Accesorios","Compartimentos para gym y laptop. Color Verde. Talla L. Plantilla demo 69.","67","42.21","41","37","8","","true"
"TPL-ACC-0070","Head Medias Tecnicas Blanco XL","Accesorios","Tejido antihumedad y ajuste anatomico. Color Blanco. Talla XL. Plantilla demo 70.","8","3.6","45","55","9","","true"
"TPL-ACC-0071","Spalding Gorra Sport Naranja Unica","Accesorios","Proteccion solar y ajuste comodo. Color Naranja. Talla Unica. Plantilla demo 71.","13","6.24","49","52","10","","true"
"TPL-ACC-0072","Molten Cangurera Runner Morado 38","Accesorios","Ideal para llaves celular y geles. Color Morado. Talla 38. Plantilla demo 72.","32","16.32","53","49","5","","true"
"TPL-FIT-0073","Yonex Mancuerna Ajustable Negro 39","Fitness","Entrenamiento funcional en casa. Color Negro. Talla 39. Plantilla demo 73.","39","21.06","57","46","6","","true"
"TPL-FIT-0074","Everlast Banda de Resistencia Azul 40","Fitness","Ideal para movilidad y fuerza. Color Azul. Talla 40. Plantilla demo 74.","7","3.99","61","43","7","","true"
"TPL-FIT-0075","Speedo Mat de Yoga Rojo 41","Fitness","Superficie antideslizante y acolchada. Color Rojo. Talla 41. Plantilla demo 75.","33","19.8","5","40","8","","true"
"TPL-FIT-0076","Arena Cuerda de Saltar Gris 42","Fitness","Rodamientos suaves para cardio. Color Gris. Talla 42. Plantilla demo 76.","12","7.56","9","37","9","","true"
"TPL-CIC-0077","CamelBak Casco Urbano Verde 43","Ciclismo","Ventilacion y ajuste seguro. Color Verde. Talla 43. Plantilla demo 77.","45","20.25","13","55","10","","true"
"TPL-CIC-0078","HydroPeak Guantes Ciclismo Blanco 44","Ciclismo","Acolchado para recorridos largos. Color Blanco. Talla 44. Plantilla demo 78.","18","8.64","17","52","5","","true"
"TPL-NAT-0079","ThermoSport Gafas Natacion Naranja XS","Natacion","Vision clara y antiempanante. Color Naranja. Talla XS. Plantilla demo 79.","24","12.24","21","49","6","","true"
"TPL-OUT-0080","FitCore Bolso Hidratacion Morado S","Outdoor","Capacidad extra para rutas largas. Color Morado. Talla S. Plantilla demo 80.","30","16.2","25","46","7","","true"
"TPL-CAL-0081","Nike Tenis Running Negro M","Calzado","Amortiguacion reactiva para entreno y uso diario. Color Negro. Talla M. Plantilla demo 81.","130","74.1","29","43","8","","true"
"TPL-CAL-0082","Adidas Tenis Trail Azul L","Calzado","Suela con agarre para senderos y exteriores. Color Azul. Talla L. Plantilla demo 82.","97","58.2","33","40","9","","true"
"TPL-CAL-0083","Puma Taquetes Futbol Rojo XL","Calzado","Estabilidad y traccion para cancha. Color Rojo. Talla XL. Plantilla demo 83.","95","59.85","37","37","10","","true"
"TPL-ROP-0084","Under Armour Camiseta Dry Fit Gris Unica","Ropa","Tela transpirable para entrenamientos intensos. Color Gris. Talla Unica. Plantilla demo 84.","24","10.8","41","55","5","","true"
"TPL-ROP-0085","Reebok Short Deportivo Verde 38","Ropa","Ligero comodo y de secado rapido. Color Verde. Talla 38. Plantilla demo 85.","33","15.84","45","52","6","","true"
"TPL-ROP-0086","New Balance Legging Performance Blanco 39","Ropa","Compresion media para gym y running. Color Blanco. Talla 39. Plantilla demo 86.","30","15.3","49","49","7","","true"
"TPL-ROP-0087","Asics Chaqueta Rompeviento Naranja 40","Ropa","Proteccion ligera para clima cambiante. Color Naranja. Talla 40. Plantilla demo 87.","39","21.06","53","46","8","","true"
"TPL-ACC-0088","Mizuno Botella Termica Morado 41","Accesorios","Mantiene la bebida fria por horas. Color Morado. Talla 41. Plantilla demo 88.","10","5.7","57","43","9","","true"
"TPL-ACC-0089","Wilson Mochila Training Negro 42","Accesorios","Compartimentos para gym y laptop. Color Negro. Talla 42. Plantilla demo 89.","31","18.6","61","40","10","","true"
"TPL-ACC-0090","Head Medias Tecnicas Azul 43","Accesorios","Tejido antihumedad y ajuste anatomico. Color Azul. Talla 43. Plantilla demo 90.","8","5.04","5","37","5","","true"
"TPL-ACC-0091","Spalding Gorra Sport Rojo 44","Accesorios","Proteccion solar y ajuste comodo. Color Rojo. Talla 44. Plantilla demo 91.","17","7.65","9","55","6","","true"
"TPL-ACC-0092","Molten Cangurera Runner Gris XS","Accesorios","Ideal para llaves celular y geles. Color Gris. Talla XS. Plantilla demo 92.","18","8.64","13","52","7","","true"
"TPL-FIT-0093","Yonex Mancuerna Ajustable Verde S","Fitness","Entrenamiento funcional en casa. Color Verde. Talla S. Plantilla demo 93.","53","27.03","17","49","8","","true"
"TPL-FIT-0094","Everlast Banda de Resistencia Blanco M","Fitness","Ideal para movilidad y fuerza. Color Blanco. Talla M. Plantilla demo 94.","7","3.78","21","46","9","","true"
"TPL-FIT-0095","Speedo Mat de Yoga Naranja L","Fitness","Superficie antideslizante y acolchada. Color Naranja. Talla L. Plantilla demo 95.","23","13.11","25","43","10","","true"
"TPL-FIT-0096","Arena Cuerda de Saltar Morado XL","Fitness","Rodamientos suaves para cardio. Color Morado. Talla XL. Plantilla demo 96.","8","4.8","29","40","5","","true"
"TPL-CIC-0097","CamelBak Casco Urbano Negro Unica","Ciclismo","Ventilacion y ajuste seguro. Color Negro. Talla Unica. Plantilla demo 97.","29","18.27","33","37","6","","true"
"TPL-CIC-0098","HydroPeak Guantes Ciclismo Azul 38","Ciclismo","Acolchado para recorridos largos. Color Azul. Talla 38. Plantilla demo 98.","14","6.3","37","55","7","","true"
"TPL-NAT-0099","ThermoSport Gafas Natacion Rojo 39","Natacion","Vision clara y antiempanante. Color Rojo. Talla 39. Plantilla demo 99.","20","9.6","41","52","8","","true"
"TPL-OUT-0100","FitCore Bolso Hidratacion Gris 40","Outdoor","Capacidad extra para rutas largas. Color Gris. Talla 40. Plantilla demo 100.","41","20.91","45","49","9","","true"
"TPL-CAL-0101","Nike Tenis Running Verde 41","Calzado","Amortiguacion reactiva para entreno y uso diario. Color Verde. Talla 41. Plantilla demo 101.","76","41.04","49","46","10","","true"
"TPL-CAL-0102","Adidas Tenis Trail Blanco 42","Calzado","Suela con agarre para senderos y exteriores. Color Blanco. Talla 42. Plantilla demo 102.","130","74.1","53","43","5","","true"
"TPL-CAL-0103","Puma Taquetes Futbol Naranja 43","Calzado","Estabilidad y traccion para cancha. Color Naranja. Talla 43. Plantilla demo 103.","59","35.4","57","40","6","","true"
"TPL-ROP-0104","Under Armour Camiseta Dry Fit Morado 44","Ropa","Tela transpirable para entrenamientos intensos. Color Morado. Talla 44. Plantilla demo 104.","19","11.97","61","37","7","","true"
"TPL-ROP-0105","Reebok Short Deportivo Negro XS","Ropa","Ligero comodo y de secado rapido. Color Negro. Talla XS. Plantilla demo 105.","29","13.05","5","55","8","","true"
"TPL-ROP-0106","New Balance Legging Performance Azul S","Ropa","Compresion media para gym y running. Color Azul. Talla S. Plantilla demo 106.","38","18.24","9","52","9","","true"
"TPL-ROP-0107","Asics Chaqueta Rompeviento Rojo M","Ropa","Proteccion ligera para clima cambiante. Color Rojo. Talla M. Plantilla demo 107.","41","20.91","13","49","10","","true"
"TPL-ACC-0108","Mizuno Botella Termica Gris L","Accesorios","Mantiene la bebida fria por horas. Color Gris. Talla L. Plantilla demo 108.","18","9.72","17","46","5","","true"
"TPL-ACC-0109","Wilson Mochila Training Verde XL","Accesorios","Compartimentos para gym y laptop. Color Verde. Talla XL. Plantilla demo 109.","39","22.23","21","43","6","","true"
"TPL-ACC-0110","Head Medias Tecnicas Blanco Unica","Accesorios","Tejido antihumedad y ajuste anatomico. Color Blanco. Talla Unica. Plantilla demo 110.","8","4.8","25","40","7","","true"
"TPL-ACC-0111","Spalding Gorra Sport Naranja 38","Accesorios","Proteccion solar y ajuste comodo. Color Naranja. Talla 38. Plantilla demo 111.","21","13.23","29","37","8","","true"
"TPL-ACC-0112","Molten Cangurera Runner Morado 39","Accesorios","Ideal para llaves celular y geles. Color Morado. Talla 39. Plantilla demo 112.","26","11.7","33","55","9","","true"
"TPL-FIT-0113","Yonex Mancuerna Ajustable Negro 40","Fitness","Entrenamiento funcional en casa. Color Negro. Talla 40. Plantilla demo 113.","67","32.16","37","52","10","","true"
"TPL-FIT-0114","Everlast Banda de Resistencia Azul 41","Fitness","Ideal para movilidad y fuerza. Color Azul. Talla 41. Plantilla demo 114.","7","3.57","41","49","5","","true"
"TPL-FIT-0115","Speedo Mat de Yoga Rojo 42","Fitness","Superficie antideslizante y acolchada. Color Rojo. Talla 42. Plantilla demo 115.","43","23.22","45","46","6","","true"
"TPL-FIT-0116","Arena Cuerda de Saltar Gris 43","Fitness","Rodamientos suaves para cardio. Color Gris. Talla 43. Plantilla demo 116.","20","11.4","49","43","7","","true"
"TPL-CIC-0117","CamelBak Casco Urbano Verde 44","Ciclismo","Ventilacion y ajuste seguro. Color Verde. Talla 44. Plantilla demo 117.","65","39","53","40","8","","true"
"TPL-CIC-0118","HydroPeak Guantes Ciclismo Blanco XS","Ciclismo","Acolchado para recorridos largos. Color Blanco. Talla XS. Plantilla demo 118.","28","17.64","57","37","9","","true"
"TPL-NAT-0119","ThermoSport Gafas Natacion Naranja S","Natacion","Vision clara y antiempanante. Color Naranja. Talla S. Plantilla demo 119.","16","7.2","61","55","10","","true"
"TPL-OUT-0120","FitCore Bolso Hidratacion Morado M","Outdoor","Capacidad extra para rutas largas. Color Morado. Talla M. Plantilla demo 120.","52","24.96","5","52","5","","true"
"TPL-CAL-0121","Nike Tenis Running Negro L","Calzado","Amortiguacion reactiva para entreno y uso diario. Color Negro. Talla L. Plantilla demo 121.","119","60.69","9","49","6","","true"
"TPL-CAL-0122","Adidas Tenis Trail Azul XL","Calzado","Suela con agarre para senderos y exteriores. Color Azul. Talla XL. Plantilla demo 122.","163","88.02","13","46","7","","true"
"TPL-CAL-0123","Puma Taquetes Futbol Rojo Unica","Calzado","Estabilidad y traccion para cancha. Color Rojo. Talla Unica. Plantilla demo 123.","111","63.27","17","43","8","","true"
"TPL-ROP-0124","Under Armour Camiseta Dry Fit Gris 38","Ropa","Tela transpirable para entrenamientos intensos. Color Gris. Talla 38. Plantilla demo 124.","43","25.8","21","40","9","","true"
"TPL-ROP-0125","Reebok Short Deportivo Verde 39","Ropa","Ligero comodo y de secado rapido. Color Verde. Talla 39. Plantilla demo 125.","25","15.75","25","37","10","","true"
"TPL-ROP-0126","New Balance Legging Performance Blanco 40","Ropa","Compresion media para gym y running. Color Blanco. Talla 40. Plantilla demo 126.","46","20.7","29","55","5","","true"
"TPL-ROP-0127","Asics Chaqueta Rompeviento Naranja 41","Ropa","Proteccion ligera para clima cambiante. Color Naranja. Talla 41. Plantilla demo 127.","43","20.64","33","52","6","","true"
"TPL-ACC-0128","Mizuno Botella Termica Morado 42","Accesorios","Mantiene la bebida fria por horas. Color Morado. Talla 42. Plantilla demo 128.","26","13.26","37","49","7","","true"
"TPL-ACC-0129","Wilson Mochila Training Negro 43","Accesorios","Compartimentos para gym y laptop. Color Negro. Talla 43. Plantilla demo 129.","47","25.38","41","46","8","","true"
"TPL-ACC-0130","Head Medias Tecnicas Azul 44","Accesorios","Tejido antihumedad y ajuste anatomico. Color Azul. Talla 44. Plantilla demo 130.","8","4.56","45","43","9","","true"
"TPL-ACC-0131","Spalding Gorra Sport Rojo XS","Accesorios","Proteccion solar y ajuste comodo. Color Rojo. Talla XS. Plantilla demo 131.","25","15","49","40","10","","true"
"TPL-ACC-0132","Molten Cangurera Runner Gris S","Accesorios","Ideal para llaves celular y geles. Color Gris. Talla S. Plantilla demo 132.","12","7.56","53","37","5","","true"
"TPL-FIT-0133","Yonex Mancuerna Ajustable Verde M","Fitness","Entrenamiento funcional en casa. Color Verde. Talla M. Plantilla demo 133.","81","36.45","57","55","6","","true"
"TPL-FIT-0134","Everlast Banda de Resistencia Blanco L","Fitness","Ideal para movilidad y fuerza. Color Blanco. Talla L. Plantilla demo 134.","7","3.36","61","52","7","","true"
"TPL-FIT-0135","Speedo Mat de Yoga Naranja XL","Fitness","Superficie antideslizante y acolchada. Color Naranja. Talla XL. Plantilla demo 135.","33","16.83","5","49","8","","true"
"TPL-FIT-0136","Arena Cuerda de Saltar Morado Unica","Fitness","Rodamientos suaves para cardio. Color Morado. Talla Unica. Plantilla demo 136.","16","8.64","9","46","9","","true"
"TPL-CIC-0137","CamelBak Casco Urbano Negro 38","Ciclismo","Ventilacion y ajuste seguro. Color Negro. Talla 38. Plantilla demo 137.","49","27.93","13","43","10","","true"
"TPL-CIC-0138","HydroPeak Guantes Ciclismo Azul 39","Ciclismo","Acolchado para recorridos largos. Color Azul. Talla 39. Plantilla demo 138.","24","14.4","17","40","5","","true"
"TPL-NAT-0139","ThermoSport Gafas Natacion Rojo 40","Natacion","Vision clara y antiempanante. Color Rojo. Talla 40. Plantilla demo 139.","12","7.56","21","37","6","","true"
"TPL-OUT-0140","FitCore Bolso Hidratacion Gris 41","Outdoor","Capacidad extra para rutas largas. Color Gris. Talla 41. Plantilla demo 140.","63","28.35","25","55","7","","true"
"TPL-CAL-0141","Nike Tenis Running Verde 42","Calzado","Amortiguacion reactiva para entreno y uso diario. Color Verde. Talla 42. Plantilla demo 141.","65","31.2","29","52","8","","true"
"TPL-CAL-0142","Adidas Tenis Trail Blanco 43","Calzado","Suela con agarre para senderos y exteriores. Color Blanco. Talla 43. Plantilla demo 142.","89","45.39","33","49","9","","true"
"TPL-CAL-0143","Puma Taquetes Futbol Naranja 44","Calzado","Estabilidad y traccion para cancha. Color Naranja. Talla 44. Plantilla demo 143.","75","40.5","37","46","10","","true"
"TPL-ROP-0144","Under Armour Camiseta Dry Fit Morado XS","Ropa","Tela transpirable para entrenamientos intensos. Color Morado. Talla XS. Plantilla demo 144.","38","21.66","41","43","5","","true"
"TPL-ROP-0145","Reebok Short Deportivo Negro S","Ropa","Ligero comodo y de secado rapido. Color Negro. Talla S. Plantilla demo 145.","21","12.6","45","40","6","","true"
"TPL-ROP-0146","New Balance Legging Performance Azul M","Ropa","Compresion media para gym y running. Color Azul. Talla M. Plantilla demo 146.","54","34.02","49","37","7","","true"
"TPL-ROP-0147","Asics Chaqueta Rompeviento Rojo L","Ropa","Proteccion ligera para clima cambiante. Color Rojo. Talla L. Plantilla demo 147.","45","20.25","53","55","8","","true"
"TPL-ACC-0148","Mizuno Botella Termica Gris XL","Accesorios","Mantiene la bebida fria por horas. Color Gris. Talla XL. Plantilla demo 148.","12","5.76","57","52","9","","true"
"TPL-ACC-0149","Wilson Mochila Training Verde Unica","Accesorios","Compartimentos para gym y laptop. Color Verde. Talla Unica. Plantilla demo 149.","55","28.05","61","49","10","","true"
"TPL-ACC-0150","Head Medias Tecnicas Blanco 38","Accesorios","Tejido antihumedad y ajuste anatomico. Color Blanco. Talla 38. Plantilla demo 150.","8","4.32","5","46","5","","true"
"TPL-ACC-0151","Spalding Gorra Sport Naranja 39","Accesorios","Proteccion solar y ajuste comodo. Color Naranja. Talla 39. Plantilla demo 151.","12","6.84","9","43","6","","true"
"TPL-ACC-0152","Molten Cangurera Runner Morado 40","Accesorios","Ideal para llaves celular y geles. Color Morado. Talla 40. Plantilla demo 152.","20","12","13","40","7","","true"
"TPL-FIT-0153","Yonex Mancuerna Ajustable Negro 41","Fitness","Entrenamiento funcional en casa. Color Negro. Talla 41. Plantilla demo 153.","32","20.16","17","37","8","","true"
"TPL-FIT-0154","Everlast Banda de Resistencia Azul 42","Fitness","Ideal para movilidad y fuerza. Color Azul. Talla 42. Plantilla demo 154.","7","3.15","21","55","9","","true"
